Frame,ProcessingTime_ms
0,90.2152999988175
1,2228.568299999097
2,105.10720000092988
3,85.02290000069479
4,70.47489999968093
5,66.92750000001979
6,66.68699999863748
7,62.651399999595014
8,77.05319999877247
9,68.86210000084247
10,55.62620000091556
11,57.778399999733665
12,65.42590000026394
13,82.05480000106036
14,309.9326999999903
15,69.3944000013289
16,81.57459999893035
17,57.778100001087296
18,57.97370000072988
19,68.78210000104445
20,71.59829999909562
21,91.74499999971886
22,80.01460000014049
23,75.89279999956489
24,64.39049999971758
25,72.91930000064895
26,79.66440000018338
27,62.39679999998771
28,76.9624999993539
29,84.21029999954044
30,84.68309999989287
31,84.4569999990199
32,80.09380000112287
33,85.41220000006433
34,84.91160000085074
35,79.38409999951546
36,86.10179999959655
37,85.71440000014263
38,82.55629999985103
39,84.3447000006563
40,79.90289999906963
41,112.11159999947995
42,83.45740000004298
43,82.30160000130127
44,86.11080000082438
45,78.69230000142124
46,62.64999999984866
47,68.8718000001245
48,68.88910000088799
49,72.91079999959038
50,64.33389999983774
51,78.85440000063682
52,86.50780000061786
53,81.36939999894821
54,84.08779999990657
55,59.14140000095358
56,80.22069999969972
57,111.54949999945529
58,86.85829999922134
59,73.15380000000005
60,65.91389999994135
61,76.20040000074368
62,64.17060000057973
63,73.31179999891901
64,62.0930999994016
65,76.93619999918155
66,62.69919999976992
67,73.41570000062347
68,63.84920000164129
69,75.49589999871387
70,66.14079999962996
71,71.81280000077095
72,66.34469999880821
73,76.1796000006143
74,83.33639999909792
75,106.65030000018305
76,106.40169999896898
77,98.57740000006743
78,82.80720000038855
79,73.24730000073032
80,62.35399999968649
81,75.59519999995246
82,63.89119999948889
83,72.5800000000163
84,60.33690000003844
85,76.06990000022051
86,60.52770000133023
87,90.47869999994873
88,82.51010000094539
89,83.06480000101146
90,57.24240000017744
91,81.51809999981197
92,85.61889999873529
93,84.73059999960242
94,74.53089999944496
95,63.49279999994906
96,81.75159999882453
97,82.01870000084455
98,57.99489999844809
99,80.02019999912591
100,58.794799999304814
101,75.69479999983741
102,61.81040000046778
103,74.85590000032971
104,86.33969999937108
105,149.5783999998821
106,78.70900000125403
107,89.15739999974903
108,78.13490000080492
109,86.13669999976992
110,81.26160000028904
111,84.19270000013057
112,81.92619999863382
113,84.53710000139836
114,82.49079999950482
115,87.37879999898723
116,72.54219999958877
117,68.21039999886125
118,75.79559999976482
119,78.39819999935571
120,67.3623000002408
121,71.23919999867212
122,66.03429999995569
123,77.89109999976063
124,85.02989999942656
125,79.78240000011283
126,87.10599999903934
127,82.5408000000607
128,84.04929999960586
129,79.78840000032505
130,89.34510000108276
131,81.75259999916307
132,83.88920000106737
133,82.97110000057728
134,82.49760000035167
135,82.5382000002719
136,85.00389999971958
137,60.142100001030485
138,75.15890000104264
139,63.57860000025539
140,74.01070000014442
141,64.76540000039677
142,76.27789999969536
143,61.25229999997828
144,75.53580000057991
145,63.82620000113093
146,76.07009999992442
147,82.55809999900521
148,65.89900000108173
149,73.08179999927233
150,59.76629999895522
151,75.5659000005835
152,67.02279999990424
153,76.11229999929492
154,60.21529999998165
155,71.91430000057153
156,66.33489999876474
157,78.62500000010186
158,62.704400001166505
159,70.41949999984354
160,66.3021000000299
161,77.73269999961485
162,61.92460000056599
163,75.07170000098995
164,63.82160000066506
165,77.24319999942963
166,63.79370000104245
167,71.79890000043088
