Frame,ProcessingTime_ms
0,95.83850000126404
1,1919.1316000014922
2,116.03239999931247
3,113.07350000060978
4,81.78849999967497
5,66.04490000063379
6,64.37080000068818
7,62.335599999642
8,65.31329999961599
9,61.252499999682186
10,64.56310000066878
11,66.00129999969795
12,61.84630000097968
13,64.41129999984696
14,65.45269999878656
15,61.65710000095714
16,64.07899999976507
17,63.913800000591436
18,63.587300001017866
19,62.014600000111386
20,65.27620000088064
21,71.73370000055002
22,65.37850000131584
23,61.29920000057609
24,63.65400000140653
25,63.46299999859184
26,63.21650000063528
27,65.43629999941913
28,66.03809999978694
29,62.455299999783165
30,62.25790000098641
31,64.31870000051276
32,66.53050000022631
33,62.1726999997918
34,63.645500000347965
35,63.418199999432545
36,63.66200000047684
37,64.38940000043658
38,61.2319000010757
39,63.44320000061998
40,63.127699999313336
41,63.5428999994474
42,62.43530000028841
43,65.20429999909538
44,62.844699999914155
45,61.11390000114625
46,61.676299999817275
47,60.75249999958032
48,61.042299999826355
49,64.64899999991758
50,66.31379999998899
51,62.522899999748915
52,64.83060000027763
53,62.68620000082592
54,61.65119999968738
55,62.45660000058706
56,65.8434999986639
57,65.93409999914002
58,87.22649999981513
59,71.80200000038894
60,62.56200000098033
61,63.08119999994233
62,60.541799999555224
63,62.101800000164076
64,62.32859999909124
65,61.932799999340205
66,59.88269999943441
67,60.947800000576535
68,62.10879999889585
69,61.623100000360864
70,61.68149999939487
71,60.61240000053658
72,62.390200000663754
73,63.45010000040929
74,61.78110000109882
75,61.7326999999932
76,61.625399999684305
77,65.818399998534
78,63.31259999933536
79,62.295600000652485
80,61.55369999942195
81,62.29209999946761
82,62.680300001375144
83,60.582999998587184
84,63.74200000027486
85,63.728000000992324
86,61.38190000092436
87,60.88420000014594
88,61.29460000011022
89,61.87030000000959
90,62.1980000014446
91,60.8961999987514
92,64.06600000082108
93,62.912600000345265
94,62.477399998897454
95,60.88389999968058
96,61.62130000120669
97,64.65469999966444
98,61.84219999886409
99,62.392499999987194
100,62.20509999911883
101,61.41079999906651
102,66.06310000097437
103,63.635999998950865
104,64.24849999893922
105,62.97939999967639
106,62.941399999544956
107,62.053800000285264
108,62.09789999957138
109,62.19679999958316
110,61.55170000056387
111,62.74990000019898
112,61.83450000025914
113,63.384500001120614
114,60.30470000041532
115,64.58179999935965
116,61.083200000211946
117,65.80709999980172
118,61.30889999985811
119,61.734099999739556
120,62.08809999952791
121,62.53119999928458
122,61.598799999046605
123,62.36779999926512
124,61.68960000104562
125,62.35460000061721
126,61.34650000058173
127,61.53640000047744
128,62.247000001661945
129,59.88659999820811
130,61.939900000652415
131,66.82720000026166
132,65.15550000040093
133,58.33110000094166
134,59.70349999915925
135,66.05970000055095
136,64.71489999967162
137,61.04779999986931
