Frame,ProcessingTime_ms
0,91.79219999896304
1,2087.4492000002647
2,113.26220000046305
3,69.63080000059563
4,66.62379999943369
5,68.06969999888679
6,68.09450000037032
7,56.051100000331644
8,56.0325999995257
9,60.093899999628775
10,65.08129999929224
11,67.10910000037984
12,56.694299999435316
13,63.5839999995369
14,83.68319999863161
15,326.53360000040266
16,97.2981000013533
17,86.04840000043623
18,82.28409999901487
19,79.99790000030771
20,78.57320000039181
21,79.6743000009883
22,92.79170000081649
23,71.10890000149084
24,83.52469999954337
25,84.20819999992091
26,58.17860000024666
27,81.33079999970505
28,82.00109999961569
29,58.17089999982272
30,75.63180000033753
31,66.88899999971909
32,75.97700000042096
33,85.44929999879969
34,77.74659999995492
35,57.31009999908565
36,78.16020000063872
37,62.19210000017483
38,75.4839000001084
39,64.48269999964396
40,80.23540000067442
41,87.17829999841342
42,75.2515999993193
43,83.00360000066576
44,65.24809999973513
45,72.89459999992687
46,64.35720000081346
47,71.64539999939734
48,86.90199999909964
49,64.31390000034298
50,71.10459999967134
51,65.09019999975862
52,73.84120000097028
53,59.04969999937748
54,78.18650000081107
55,67.98840000010387
56,72.53909999963071
57,65.54179999875487
58,73.05489999998827
59,65.89189999976952
60,74.28369999979623
61,82.54010000018752
62,64.43679999938468
63,74.96139999966545
64,66.56750000001921
65,73.00540000142064
66,57.39960000028077
67,78.53980000072625
68,60.152100000777864
69,63.80619999981718
70,72.83860000097775
71,61.29800000053365
72,52.51979999957257
73,80.9767999999167
74,62.38889999985986
75,82.49829999840586
76,79.66149999992922
77,90.01049999824318
78,84.80140000028769
79,61.29689999943366
80,68.38620000053197
81,69.25530000080471
82,63.88569999944593
83,69.48059999922407
84,61.04909999885422
85,70.1783999993495
86,81.04230000026291
87,79.48910000050091
88,61.12329999996291
89,82.34699999957229
90,84.8005000007106
91,62.65939999866532
92,76.85399999900255
93,82.34489999995276
94,77.71719999982452
95,61.874799999714014
96,64.81220000023313
97,72.70889999927022
98,81.07530000052066
99,80.94689999961702
100,61.07169999995676
101,67.56180000047607
